unit,hate-label
%e2%80%99ndrangheta,0
'ndrangheta,0
"(0, 0, 0)",1
(to get) dumped,0
(white) trash,0
0,1
187,1
1984,0
1st secretary,1
2b1ask1,1
2nd secretary,1
3rd secretary,1
419,1
7 death sins,1
7 mortal sins,1
86,0
Beelzebub,0
Bolsonazi,1
Christophobe,0
Lucifer,0
Martial law,1
PT Gang,1
a b axis,1
a betularia,0
a man's best friend,1
a word,1
a'hole,1
a. f. and a. m,1
a.f.&a.m.,1
aasvogel,1
ab axis,1
abaction,1
abactor,1
abandon,1
abandoned,0
abandoned ship,1
abandonment,0
abase,0
abased,1
abasement,1
abash,0
abashed,0
abate,1
abatis,0
abdicate,0
abdication,0
abduct,0
abduction,1
abductor,1
aberrant,0
aberration,0
aberrometry,1
abet,0
abhor,1
abhorrence,0
abhorrent,1
abidance,1
abigeus,1
abject,1
abjection,1
abjectness,1
abjure,0
able-bodied,1
abnegation,0
abnormal,0
abnormality,0
abolish,0
abominable,1
abomination,1
aboral,1
abort,0
abortive,0
abortuary,1
aboulia,1
aboulic,1
abrasive,0
abridge,0
abridged,0
abrupt,0
abruptness,0
abscond,0
absence,0
absent,1
absentee,0
absolute,0
absolve,0
absorb,0
abstract,1
abstruse,0
absurd,0
absurdity,1
abulia,1
abulic,1
abuse,1
abused,1
abuser,0
abusers,1
abuses,1
abusing,1
abusive,0
abusiveness,1
abysm,0
abysmal,1
abyss,0
academe,1
academese,1
academia,1
academian,1
academic,1
academical,1
academically,1
academician,1
academicians,1
academicism,1
academics,1
academism,1
academy,1
accademic,1
acceptabilities,1
acceptability,1
acceptableness,1
acceptably,1
accident,0
accidental,1
accidia,1
accidie,1
accost,0
accounant,1
accountancy expert,1
accountancy experts,1
accountancy practitioner,1
accountancy practitioners,1
accountancy qualifications and regulation,1
accountant,1
accountants,1
accountantship,1
accursed,1
accusation,0
accusatory,0
accuse,0
accuse falsely,1
accused,1
accused falsely,1
accuser,1
accuses falsely,1
accusing falsely,1
accustomed,0
ace,1
acedia,1
acerbic,0
ache,0
acidic,0
acne,0
acolyte,1
acolytes,1
acolyth,1
acquiesce,0
acquiescence,0
acquisitive,0
acquisitiveness,1
acridophaga,1
acrimonious,0
acrimony,0
act of terror,0
actor,0
actress,0
acute,0
adamant,0
adder,1
addict,0
addiction,0
"addiction, buddhist definition of",1
addictive,0
addle,0
